MOVIE ID,WATCH DATE,MINUTES WATCHED
tt0034889,08/28/2019,23
tt0035060,01/07/2019,58
tt0031124,01/18/2020,12
tt0032551,11/11/2016,59
tt0028200,05/09/2016,28
tt0018440,06/22/2020,54
tt0031800,06/02/2015,64
tt0026403,11/03/2015,60
tt0034931,01/30/2016,54
tt0025748,06/05/2020,51
tt0032145,12/28/2017,89
tt0034113,02/27/2019,43
tt0027656,07/25/2018,61
tt0028555,02/22/2016,45
tt0021069,02/07/2015,64
tt0014142,12/03/2016,116
tt0029826,04/13/2019,52
tt0034862,10/26/2018,39
tt0028290,03/14/2016,60
tt0032325,05/07/2017,52
tt0033648,06/28/2019,14
tt0022827,03/24/2020,31
tt0027980,03/07/2020,59
tt0021785,10/12/2019,63
tt0029906,07/31/2018,24
tt0032455,03/18/2019,3
tt0018722,02/26/2020,44
tt0035031,08/11/2016,21
tt0026910,10/20/2019,34
tt0023949,03/18/2016,31
tt0024610,04/01/2019,89
tt0029821,09/09/2020,15
tt0034167,09/21/2018,52
tt0031580,07/03/2015,88
tt0035105,04/03/2018,6
tt0028433,10/19/2016,71
tt0025532,01/09/2018,69
tt0026385,06/02/2020,36
tt0030395,04/11/2016,48
tt0034078,08/15/2018,53
tt0027515,05/21/2016,82
tt0016338,03/17/2020,2
tt0029941,10/01/2015,58
tt0023236,07/12/2016,21
tt0022428,07/27/2019,43
tt0031045,04/04/2016,56
tt0018862,09/03/2016,73
tt0031385,11/08/2015,3
tt0031761,04/20/2017,38
tt0023872,02/13/2019,3
tt0033722,09/06/2017,54
tt0034298,04/21/2015,98
tt0021435,12/14/2019,57
tt0023470,04/14/2017,52
tt0023993,11/06/2018,51
tt0033535,02/11/2016,228
tt0025465,08/08/2015,29
tt0029694,07/01/2018,22
tt0029571,03/28/2017,16
tt0031230,04/23/2018,252
tt0031122,04/08/2020,38
tt0020364,05/23/2020,9
tt0022034,12/10/2018,44
tt0031968,07/14/2016,80
tt0033511,11/23/2018,92
tt0027479,07/14/2017,8
tt0023498,01/08/2017,55
tt0032753,08/31/2018,3
tt0017226,04/04/2019,20
tt0034198,07/15/2020,81
tt0013386,12/24/2018,30
tt0023327,08/23/2018,40
tt0029207,06/12/2019,39
tt0023816,08/07/2017,43
tt0026867,04/10/2017,97
tt0025100,05/13/2016,18
tt0018862,07/28/2020,60
tt0008672,08/10/2015,76
tt0021595,07/27/2017,37
tt0020966,12/13/2017,60
tt0026276,07/13/2015,64
tt0023109,01/03/2017,23
tt0015136,09/21/2018,38
tt0032261,04/04/2015,38
tt0031516,11/23/2015,118
tt0029217,01/25/2015,52
tt0035338,08/08/2016,62
tt0034269,08/16/2018,42
tt0024090,12/14/2016,43
tt0023472,08/01/2019,48
tt0028676,06/08/2019,67
tt0024005,04/14/2020,14
tt0028517,02/02/2018,79
tt0026043,06/18/2016,27
tt0025850,08/18/2019,49
tt0029284,11/23/2016,45
tt0024805,11/04/2019,1
tt0030057,11/07/2017,2
tt0026605,09/29/2019,67
tt0017293,05/13/2016,6
tt0024554,01/16/2020,53
tt0003471,02/03/2019,23
tt0034242,09/07/2019,74
tt0027207,07/18/2016,39
tt0030108,12/03/2015,10
tt0029751,08/29/2020,68
tt0032635,09/06/2016,71
tt0034232,07/25/2018,49
tt0034204,03/11/2018,31
tt0021223,10/01/2016,101
tt0032551,06/14/2016,25
tt0027336,04/15/2015,87
tt0034178,07/03/2020,45
tt0024830,07/07/2019,35
tt0029064,12/05/2017,39
tt0035007,11/11/2019,15
tt0013442,04/06/2016,74
tt0021799,03/02/2015,31
tt0021798,07/21/2015,2
tt0023856,01/30/2017,13
tt0031381,05/18/2017,188
tt0019130,07/09/2020,61
tt0027481,04/09/2017,27
tt0016258,09/30/2017,65
tt0021992,04/27/2018,5
tt0027726,09/20/2015,53
tt0014760,11/14/2015,28
tt0034398,02/26/2018,25
tt0026292,07/09/2018,43
tt0029056,08/13/2017,1
tt0024307,10/30/2015,62
tt0024258,05/22/2018,36
tt0018451,08/17/2018,5
tt0034197,04/10/2019,18
tt0028661,09/14/2016,79
tt0022034,12/14/2019,74
tt0024830,03/24/2015,125
tt0032356,04/30/2018,16
tt0028755,09/25/2017,12
tt0029499,05/30/2015,14
tt0002130,04/01/2018,42
tt0030667,04/18/2016,45
tt0010890,08/08/2015,1
tt0019901,03/31/2017,134
tt0020514,12/27/2016,29
tt0025318,08/14/2020,59
tt0033319,07/18/2015,40
tt0023175,11/15/2016,18
tt0025903,05/12/2018,35
tt0026775,04/11/2015,1
tt0022303,01/15/2018,1
tt0018379,08/22/2020,9
tt0034433,12/20/2018,1
tt0032851,12/26/2017,38
tt0022373,12/29/2018,46
tt0002445,11/24/2018,4
tt0024130,07/29/2018,38
tt0023896,01/05/2019,34
tt0023456,09/12/2019,122
tt0020754,01/07/2020,79
tt0028347,12/05/2015,33
tt0011193,11/18/2018,73
tt0025536,10/02/2018,36
tt0035230,07/14/2018,47
tt0027050,01/15/2015,26
tt0020949,10/08/2019,9
tt0030220,11/27/2015,3
tt0004972,03/20/2019,149
tt0020585,05/03/2018,26
tt0034513,04/22/2020,47
tt0028873,11/03/2015,71
tt0021761,09/14/2017,68
tt0008499,05/23/2016,55
tt0033996,06/22/2020,56
tt0030265,06/21/2015,14
tt0023181,06/21/2018,40
tt0029002,05/01/2015,7
tt0018440,10/12/2016,50
tt0023876,09/20/2018,24
tt0034527,11/30/2019,60
tt0021799,12/02/2017,16
tt0023028,09/21/2016,1
tt0024222,11/01/2019,29
tt0031122,12/13/2019,42
tt0024645,04/11/2019,150
