MOVIE ID,WATCH DATE,MINUTES WATCHED
tt0011267,09/24/2015,29
tt0019945,05/14/2017,9
tt0017567,01/28/2015,76
tt0020335,07/06/2015,61
tt0015136,01/07/2016,10
tt0014586,01/29/2018,60
tt0019571,02/26/2018,35
tt0015310,10/15/2018,8
tt0021283,05/24/2017,65
tt0018351,10/03/2017,54
tt0015772,05/16/2015,66
tt0012068,03/21/2020,50
tt0019629,01/26/2020,51
tt0012675,03/26/2018,54
tt0015493,07/03/2017,68
tt0006509,06/27/2018,1
tt0019152,01/26/2017,30
tt0011741,04/09/2016,66
tt0018839,10/09/2015,51
tt0017374,09/13/2015,50
tt0021533,05/13/2019,66
tt0009608,06/23/2016,34
tt0016473,06/08/2017,10
tt0021216,08/29/2018,55
tt0016205,08/27/2020,42
tt0020475,07/04/2019,2
tt0019976,09/28/2017,50
tt0018841,02/17/2016,58
tt0007309,07/18/2019,39
tt0002452,09/18/2015,76
tt0010208,09/20/2017,27
tt0009652,06/12/2016,10
tt0009559,04/01/2020,7
tt0016394,10/02/2016,35
tt0012538,08/04/2019,23
tt0020768,02/16/2020,75
tt0020425,01/23/2016,15
tt0013688,11/24/2019,24
tt0017750,10/08/2019,23
tt0004872,01/21/2020,12
tt0021001,08/23/2018,14
tt0010662,04/27/2015,71
tt0017448,01/30/2019,31
tt0018397,03/11/2018,13
tt0017928,07/05/2019,59
tt0021615,07/24/2018,83
tt0004712,07/24/2019,67
tt0018138,05/04/2019,9
tt0015794,12/03/2019,9
tt0006731,09/06/2019,5
tt0016294,02/05/2019,26
tt0016627,09/14/2015,38
tt0020980,04/22/2016,1
tt0020620,04/10/2016,1
tt0010879,05/17/2017,18
tt0021294,02/09/2016,62
tt0020724,04/10/2015,47
tt0019434,05/25/2016,40
tt0012494,01/23/2018,82
tt0005078,10/21/2019,46
tt0018351,08/24/2015,10
tt0021216,01/09/2015,12
tt0016241,06/22/2020,55
tt0016664,01/09/2020,39
tt0010456,12/04/2015,13
tt0016854,03/07/2019,66
tt0017925,02/25/2017,21
tt0019290,07/18/2019,44
tt0021673,09/06/2017,45
tt0008443,03/31/2018,3
tt0019785,04/26/2016,41
tt0018179,04/03/2018,6
tt0005557,03/08/2019,54
tt0018927,09/16/2018,28
tt0021282,09/16/2017,21
tt0019585,12/23/2019,19
tt0021148,06/12/2017,5
tt0005149,05/31/2017,74
tt0006617,01/15/2019,21
tt0013933,10/19/2016,80
tt0018253,03/16/2016,15
tt0011131,03/13/2016,31
tt0012952,02/05/2018,25
tt0021768,11/16/2018,34
tt0018839,10/01/2017,76
tt0004873,01/05/2020,6
tt0003637,08/11/2018,13
tt0018513,08/31/2019,36
tt0018773,10/28/2017,70
tt0016664,12/27/2015,29
tt0013332,04/20/2020,25
tt0017998,06/07/2020,3
tt0018054,07/18/2020,18
tt0015361,05/06/2019,68
tt0018879,03/24/2019,43
tt0021382,06/23/2020,42
tt0017029,11/16/2016,88
tt0020534,04/13/2017,36
tt0021061,09/05/2017,57
tt0011474,05/23/2019,7
tt0006327,12/25/2017,9
tt0011173,01/26/2016,42
tt0019946,12/19/2015,42
tt0013140,10/19/2016,58
tt0013705,07/13/2015,82
tt0008950,01/21/2016,56
tt0013571,11/09/2018,25
tt0010456,05/02/2019,25
tt0021615,04/14/2017,3
tt0020238,04/25/2019,23
tt0018179,09/30/2018,1
tt0015400,03/08/2015,20
tt0019644,09/03/2017,47
tt0014854,12/17/2018,130
tt0019976,08/19/2019,41
tt0014429,06/06/2018,31
tt0008443,03/06/2020,20
tt0015842,09/17/2017,46
tt0021044,03/20/2017,14
tt0016895,10/03/2015,21
tt0021294,06/08/2018,32
tt0019702,03/06/2015,72
tt0013367,05/18/2018,39
tt0011157,02/04/2019,67
tt0005339,12/02/2019,52
tt0011948,03/23/2018,47
tt0017128,12/17/2018,74
tt0015036,12/22/2017,115
tt0020223,10/13/2019,7
tt0009915,08/29/2020,38
tt0020697,08/08/2019,76
tt0015648,12/22/2019,19
tt0020286,11/16/2015,10
tt0021134,06/21/2017,18
tt0002423,02/05/2015,48
tt0015167,10/21/2016,93
tt0011370,11/21/2016,45
tt0002199,03/31/2017,22
tt0020223,08/10/2015,26
tt0011652,02/10/2019,41
tt0020966,03/07/2020,33
tt0008100,12/24/2017,62
tt0007340,04/04/2020,37
tt0017103,12/08/2015,78
tt0021531,03/19/2019,67
tt0021374,12/15/2015,41
tt0020890,09/03/2017,45
tt0021735,09/23/2019,48
tt0019151,12/06/2015,54
tt0019096,02/28/2017,7
tt0021134,05/26/2020,60
tt0018235,05/08/2017,28
tt0010755,05/19/2020,25
tt0011588,07/13/2020,4
tt0021048,08/26/2016,15
tt0020081,12/15/2019,70
tt0013619,07/19/2018,148
tt0010635,06/17/2018,37
tt0019850,02/13/2015,31
tt0020144,03/25/2019,80
tt0018523,12/12/2018,10
tt0018016,11/13/2015,49
tt0002130,04/30/2015,51
tt0011387,08/01/2016,34
tt0013404,08/11/2020,48
tt0019936,06/02/2017,49
tt0020875,06/18/2017,12
tt0010600,02/02/2015,2
tt0020514,02/29/2016,2
tt0014112,05/04/2018,18
tt0010598,05/09/2019,21
tt0021090,03/24/2019,31
tt0019071,03/07/2018,70
tt0010456,10/06/2015,27
tt0015500,06/17/2017,49
tt0009878,06/08/2020,41
tt0010247,08/10/2019,51
tt0021697,07/14/2018,47
tt0020661,01/20/2020,46
tt0016690,02/07/2019,24
tt0020479,12/05/2019,3
tt0008536,05/27/2019,64
tt0013122,08/31/2019,24
tt0018392,08/03/2018,43
tt0020062,09/28/2016,1
tt0014770,01/30/2015,7
tt0017567,07/28/2019,78
tt0007367,12/19/2015,38
tt0019646,03/24/2020,40
tt0020062,04/17/2019,47
tt0014108,09/26/2016,30
tt0019195,11/26/2015,71
tt0020269,08/20/2018,33
tt0012752,05/05/2015,26
tt0019983,09/01/2018,19
tt0021636,05/17/2018,68
tt0018179,01/23/2020,12
tt0004972,01/22/2019,26
tt0021764,03/19/2017,21
tt0019646,08/11/2017,105
tt0021042,04/23/2019,69
tt0017195,11/17/2016,12
tt0015693,06/08/2018,53
tt0018615,05/07/2015,63
tt0014524,06/12/2017,48
tt0020228,01/23/2020,69
tt0016939,01/19/2019,14
tt0021408,02/03/2017,22
tt0018166,03/09/2020,19
tt0011414,09/05/2019,23
tt0019788,11/29/2015,48
tt0016629,10/31/2017,30
tt0021381,05/10/2020,15
tt0019388,01/31/2019,8
tt0017419,10/17/2019,40
tt0010635,04/10/2015,18
tt0009326,07/15/2016,40
tt0004150,07/10/2017,57
tt0021322,05/16/2019,58
tt0020011,07/28/2017,41
tt0021294,05/13/2017,46
tt0020320,04/13/2019,63
tt0014358,12/11/2018,11
tt0018054,02/09/2019,14
tt0019429,04/28/2018,28
tt0009652,12/05/2018,20
tt0020724,08/10/2018,62
tt0018770,06/26/2016,54
tt0012465,12/25/2015,67
tt0019127,05/20/2019,93
tt0017534,05/14/2020,29
tt0020740,03/18/2020,46
tt0018351,04/29/2017,52
tt0021074,01/27/2019,59
tt0011130,09/12/2018,51
tt0021697,08/29/2018,5
tt0015909,08/23/2018,69
tt0020062,03/10/2018,31
tt0019945,06/06/2018,69
tt0011370,01/01/2020,47
tt0011837,06/30/2019,13
tt0017843,04/06/2015,59
tt0016664,05/18/2016,34
tt0020198,03/09/2016,20
tt0021197,12/15/2015,26
tt0019186,11/03/2015,39
tt0012249,06/16/2019,10
tt0021189,10/08/2016,8
tt0011237,04/08/2019,18
tt0019182,04/15/2017,53
tt0017159,11/18/2019,246
tt0020563,11/18/2019,15
tt0021374,05/10/2017,41
tt0018990,11/28/2017,51
tt0017653,05/18/2017,50
tt0019979,08/27/2018,63
tt0020238,10/22/2017,52
tt0016332,01/29/2016,11
tt0021778,12/20/2016,28
tt0017735,01/23/2015,56
tt0021798,12/26/2017,33
tt0018528,11/11/2016,20
tt0020081,03/25/2019,46
tt0020823,10/28/2019,29
tt0016461,08/16/2015,61
tt0014109,08/02/2018,64
tt0007361,01/10/2020,49
tt0010162,09/25/2019,12
tt0020458,04/14/2020,54
tt0020542,10/08/2016,12
tt0021189,12/28/2019,52
tt0017938,05/29/2016,24
tt0016201,09/03/2017,30
tt0010559,10/10/2015,17
tt0004099,04/20/2016,23
tt0020629,09/29/2017,66
tt0006517,10/30/2015,47
tt0013428,05/24/2017,77
tt0020828,04/01/2019,80
tt0003930,03/03/2020,21
tt0021153,06/12/2019,13
tt0016220,09/02/2019,24
tt0017480,08/11/2016,27
tt0019074,12/01/2015,12
tt0018179,12/26/2016,52
tt0017938,05/11/2015,12
tt0013059,04/08/2017,54
tt0021087,09/23/2019,59
tt0020431,07/14/2020,50
tt0016480,09/27/2015,70
tt0021750,12/06/2017,76
tt0020534,05/15/2020,78
tt0013579,01/31/2019,80
tt0013085,01/27/2017,22
tt0021785,07/29/2017,3
tt0008672,04/11/2017,76
tt0011948,09/03/2015,49
tt0015163,02/07/2017,19
tt0019630,07/14/2020,58
tt0016630,06/01/2020,10
tt0014604,03/16/2019,44
tt0010953,01/21/2020,1
tt0006333,03/18/2016,15
tt0009440,11/08/2019,29
tt0016669,11/13/2019,11
tt0013705,07/20/2017,69
tt0020691,09/08/2018,65
tt0018756,06/24/2019,13
tt0015872,08/03/2016,7
tt0021607,09/25/2017,32
tt0021087,09/15/2017,7
tt0018166,10/19/2015,14
tt0018826,03/19/2019,26
tt0013802,10/14/2019,37
tt0013059,12/08/2018,63
tt0016953,05/02/2020,51
tt0016548,02/07/2020,13
tt0021401,07/20/2015,6
tt0003883,12/24/2015,18
tt0019646,11/25/2017,186
tt0006826,01/12/2015,21
tt0021654,09/25/2019,59
tt0019290,12/08/2019,28
tt0006809,05/14/2018,45
tt0018102,02/27/2015,54
tt0014721,04/02/2016,22
tt0006736,01/13/2016,3
tt0017750,05/21/2019,56
tt0021087,09/28/2016,50
tt0018530,09/02/2019,23
tt0010844,12/08/2018,12
tt0015643,10/05/2018,32
tt0018455,01/17/2019,22
