ID,TITLE,YEAR,RUNTIME (MINUTES),GENRES
tt0000574,The Story of the Kelly Gang,1906,70,
tt0001892,Den sorte drAm,1911,53,
tt0002101,Cleopatra,1912,100,
tt0002130,LInferno,1911,68,
tt0002199,From the Manger to the Cross or Jesus of Nazareth,1912,60,
tt0002423,Madame DuBarry,1919,85,
tt0002445,Quo Vadis,1913,120,
tt0002452,Independenta Romaniei,1912,120,
tt0002461,Richard III,1912,55,
tt0002646,Atlantis,1913,121,
tt0002844,FantAmas  A lombre de la guillotine,1913,54,
tt0003014,Ingeborg Holm,1913,96,
tt0003037,Juve contre FantAmas,1913,61,
tt0003131,Maudite soit la guerre,1914,50,
tt0003165,Le mort qui tue,1913,90,
tt0003167,Home Sweet Home,1914,55,
tt0003419,Der Student von Prag,1913,85,
tt0003471,Traffic in Souls,1913,88,
tt0003489,Gli ultimi giorni di Pompei,1913,88,
tt0003637,Assunta Spina,1915,72,
tt0003643,The Avenging Conscience or Thou Shalt Not Kill,1914,78,
tt0003657,The Bargain,1914,70,
tt0003740,Cabiria,1914,148,
tt0003772,Cinderella,1914,52,
tt0003883,Lenfant de Paris,1913,100,
tt0003930,FantAmas contre FantAmas,1914,59,
tt0003952,Le faux magistrat,1914,70,
tt0003973,A Florida Enchantment,1914,63,
tt0004026,Der Golem,1915,60,
tt0004066,Det hemmelighedsfulde X,1914,84,
tt0004099,His Majesty the Scarecrow of Oz,1914,59,
tt0004134,Hypocrites,1915,54,
tt0004150,In the Land of the Head Hunters,1914,65,
tt0004181,Judith of Bethulia,1914,61,
tt0004457,The Patchwork Girl of Oz,1914,81,
tt0004465,The Perils of Pauline,1914,199,
tt0004635,The Squaw Man,1914,74,
tt0004681,Tess of the Storm Country,1914,80,
tt0004707,Tillies Punctured Romance,1914,82,
tt0004712,A tolonc,1915,67,
tt0004766,The Virginian,1914,55,
tt0004825,The Wishing Ring An Idyll of Old England,1914,54,
tt0004838,The Wrath of the Gods,1914,56,
tt0004872,Alias Jimmy Valentine,1915,50,
tt0004873,Alice in Wonderland,1915,52,
tt0004972,The Birth of a Nation,1915,195,
tt0005060,Carmen,1915,59,
tt0005078,The Cheat,1915,59,
tt0005149,The Coward,1915,77,
