MOVIE ID,WATCH DATE,MINUTES WATCHED
tt0037387,02/07/2020,84
tt0041094,07/14/2016,5
tt0041452,07/23/2018,100
tt0061493,02/07/2020,68
tt0029659,05/23/2018,56
tt0060171,09/07/2015,15
tt0023926,04/26/2016,9
tt0065772,06/22/2016,52
tt0034941,08/21/2016,7
tt0040544,05/02/2016,70
tt0072361,10/19/2015,8
tt0070233,10/05/2018,1
tt0071786,03/10/2017,59
tt0012763,06/12/2017,56
tt0053271,03/22/2016,103
tt0065672,10/27/2019,46
tt0042794,07/16/2019,15
tt0059744,04/11/2016,43
tt0050438,03/08/2018,23
tt0032487,10/07/2019,59
tt0024787,10/31/2019,70
tt0035959,08/23/2020,80
tt0069322,10/12/2017,77
tt0067638,10/15/2019,44
tt0038615,04/14/2015,45
tt0046164,03/15/2017,100
tt0064396,10/30/2018,21
tt0071483,12/29/2016,7
tt0069867,09/26/2015,61
tt0033944,06/03/2018,47
tt0070727,08/19/2019,76
tt0069936,10/08/2016,1
tt0070669,09/01/2018,77
tt0003740,05/05/2018,79
tt0070926,11/11/2016,81
tt0027521,03/21/2015,67
tt0048628,01/06/2018,84
tt0060305,11/01/2017,6
tt0037791,01/07/2019,73
tt0052609,03/06/2018,43
tt0041133,09/21/2019,25
tt0059015,05/09/2018,53
tt0038310,05/31/2017,9
tt0058756,05/19/2015,51
tt0048554,09/19/2017,40
tt0065997,03/01/2016,28
tt0024914,02/17/2018,50
tt0047435,04/21/2016,79
tt0025397,08/08/2016,29
tt0028567,02/20/2019,83
tt0040785,12/14/2019,29
tt0044566,06/24/2016,40
tt0034926,01/12/2018,43
tt0060814,08/15/2020,121
tt0046800,03/14/2019,42
tt0059674,03/13/2017,18
tt0039797,03/28/2017,101
tt0049363,02/01/2015,36
tt0061087,03/19/2017,51
tt0052411,01/08/2016,153
tt0050526,05/10/2020,62
tt0059462,04/04/2020,23
tt0033852,07/13/2019,13
tt0068271,04/08/2020,81
tt0051649,01/30/2015,32
tt0051028,06/29/2020,41
tt0028216,07/29/2017,82
tt0053236,05/14/2017,79
tt0053084,01/20/2016,25
tt0067292,10/27/2016,38
tt0028290,01/31/2015,15
tt0014109,08/16/2015,66
tt0053694,03/23/2019,4
tt0038326,09/15/2018,58
tt0026534,06/02/2016,69
tt0044622,11/05/2016,43
tt0041918,05/25/2017,13
tt0007610,03/16/2015,20
tt0050871,10/21/2016,78
tt0049865,01/18/2017,75
tt0059724,11/26/2017,95
tt0056802,10/07/2018,113
tt0058869,11/22/2018,33
tt0028346,04/08/2020,24
tt0070464,08/06/2015,155
tt0059268,09/10/2016,36
tt0063102,10/27/2019,87
tt0049841,07/23/2020,83
tt0025973,11/15/2017,9
tt0068416,04/03/2019,19
tt0029992,04/12/2016,39
